strategy,source_pairs,historical_observations_per_source,active_live_fraction,active_live_sources,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
aggregate-all-sources,25,10000,0.1,3,1,1,25,25,25,25,3,25,0,50,250000,25,0,25,336,7.561833,0.001583,7.559375,0.000334,excluded,excluded,excluded,3,6178897026408693386
aggregate-all-sources,25,10000,0.1,3,2,1,25,25,25,25,3,25,0,50,250000,25,0,25,336,7.493250,0.001500,7.491083,0.000375,excluded,excluded,excluded,3,6178897026408693386
aggregate-all-sources,25,10000,0.1,3,3,1,25,25,25,25,3,25,0,50,250000,25,0,25,336,7.548417,0.001625,7.546125,0.000291,excluded,excluded,excluded,3,6178897026408693386
aggregate-all-sources,25,10000,0.1,3,4,1,25,25,25,25,3,25,0,50,250000,25,0,25,336,7.622083,0.001750,7.619708,0.000250,excluded,excluded,excluded,3,6178897026408693386
live-first-source-selection,25,10000,0.1,3,0,1,25,25,25,25,3,3,22,28,30000,3,0,3,72,0.913208,0.004542,0.908084,0.000208,excluded,excluded,excluded,3,6178897026408693386
live-first-source-selection,25,10000,0.1,3,1,1,25,25,25,25,3,3,22,28,30000,3,0,3,72,0.912500,0.002417,0.909667,0.000166,excluded,excluded,excluded,3,6178897026408693386
live-first-source-selection,25,10000,0.1,3,2,1,25,25,25,25,3,3,22,28,30000,3,0,3,72,0.908542,0.001583,0.906584,0.000167,excluded,excluded,excluded,3,6178897026408693386
live-first-source-selection,25,10000,0.1,3,3,1,25,25,25,25,3,3,22,28,30000,3,0,3,72,0.919417,0.001500,0.917584,0.000125,excluded,excluded,excluded,3,6178897026408693386
live-first-source-selection,25,10000,0.1,3,4,1,25,25,25,25,3,3,22,28,30000,3,0,3,72,0.915667,0.001417,0.913916,0.000167,excluded,excluded,excluded,3,6178897026408693386
fetch-all-sources,50,10000,0.1,5,0,1,50,50,50,50,5,50,0,100,500000,500000,500000,0,59410060,67.533000,0.007875,67.521333,0.002917,excluded,excluded,excluded,5,5253694295963796059
fetch-all-sources,50,10000,0.1,5,1,1,50,50,50,50,5,50,0,100,500000,500000,500000,0,59410060,67.365416,0.005625,67.356000,0.003166,excluded,excluded,excluded,5,5253694295963796059
fetch-all-sources,50,10000,0.1,5,2,1,50,50,50,50,5,50,0,100,500000,500000,500000,0,59410060,66.530833,0.009708,66.517708,0.002458,excluded,excluded,excluded,5,5253694295963796059
fetch-all-sources,50,10000,0.1,5,3,1,50,50,50,50,5,50,0,100,500000,500000,500000,0,59410060,66.387833,0.007208,66.377542,0.002417,excluded,excluded,excluded,5,5253694295963796059
fetch-all-sources,50,10000,0.1,5,4,1,50,50,50,50,5,50,0,100,500000,500000,500000,0,59410060,66.255459,0.005167,66.247458,0.002125,excluded,excluded,excluded,5,5253694295963796059
aggregate-all-sources,50,10000,0.1,5,0,1,50,50,50,50,5,50,0,100,500000,50,0,50,660,14.552542,0.004209,14.546875,0.000833,excluded,excluded,excluded,5,5253694295963796059
aggregate-all-sources,50,10000,0.1,5,1,1,50,50,50,50,5,50,0,100,500000,50,0,50,660,14.525291,0.003750,14.520083,0.000792,excluded,excluded,excluded,5,5253694295963796059
aggregate-all-sources,50,10000,0.1,5,2,1,50,50,50,50,5,50,0,100,500000,50,0,50,660,14.529625,0.003666,14.524625,0.000792,excluded,excluded,excluded,5,5253694295963796059
aggregate-all-sources,50,10000,0.1,5,3,1,50,50,50,50,5,50,0,100,500000,50,0,50,660,15.631250,0.003791,15.623583,0.003042,excluded,excluded,excluded,5,5253694295963796059
aggregate-all-sources,50,10000,0.1,5,4,1,50,50,50,50,5,50,0,100,500000,50,0,50,660,15.268708,0.008666,15.257583,0.001417,excluded,excluded,excluded,5,5253694295963796059
live-first-source-selection,50,10000,0.1,5,0,1,50,50,50,50,5,5,45,55,50000,5,0,5,120,1.540125,0.003958,1.535375,0.000459,excluded,excluded,excluded,5,5253694295963796059
live-first-source-selection,50,10000,0.1,5,1,1,50,50,50,50,5,5,45,55,50000,5,0,5,120,1.539208,0.003458,1.535042,0.000375,excluded,excluded,excluded,5,5253694295963796059
live-first-source-selection,50,10000,0.1,5,2,1,50,50,50,50,5,5,45,55,50000,5,0,5,120,1.539042,0.003166,1.535125,0.000417,excluded,excluded,excluded,5,5253694295963796059
live-first-source-selection,50,10000,0.1,5,3,1,50,50,50,50,5,5,45,55,50000,5,0,5,120,1.538625,0.003209,1.534709,0.000375,excluded,excluded,excluded,5,5253694295963796059
live-first-source-selection,50,10000,0.1,5,4,1,50,50,50,50,5,5,45,55,50000,5,0,5,120,1.538291,0.003166,1.534417,0.000375,excluded,excluded,excluded,5,5253694295963796059
fetch-all-sources,100,10000,0.1,10,0,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,136.752166,0.017917,136.728291,0.004291,excluded,excluded,excluded,10,11866307917495975509
fetch-all-sources,100,10000,0.1,10,1,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,138.825458,0.013208,138.805667,0.005458,excluded,excluded,excluded,10,11866307917495975509
fetch-all-sources,100,10000,0.1,10,2,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,138.681000,0.020541,138.654625,0.004542,excluded,excluded,excluded,10,11866307917495975509
fetch-all-sources,100,10000,0.1,10,3,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,140.274375,0.016958,140.250834,0.005375,excluded,excluded,excluded,10,11866307917495975509
fetch-all-sources,100,10000,0.1,10,4,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,132.899667,0.020291,132.871125,0.006750,excluded,excluded,excluded,10,11866307917495975509
aggregate-all-sources,100,10000,0.1,10,0,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,30.556250,0.015250,30.537583,0.002333,excluded,excluded,excluded,10,11866307917495975509
aggregate-all-sources,100,10000,0.1,10,1,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,29.664792,0.011667,29.650125,0.002000,excluded,excluded,excluded,10,11866307917495975509
aggregate-all-sources,100,10000,0.1,10,2,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,29.638459,0.009583,29.625625,0.002167,excluded,excluded,excluded,10,11866307917495975509
aggregate-all-sources,100,10000,0.1,10,3,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,29.887708,0.008667,29.872625,0.005333,excluded,excluded,excluded,10,11866307917495975509
aggregate-all-sources,100,10000,0.1,10,4,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,29.627791,0.008542,29.614000,0.003709,excluded,excluded,excluded,10,11866307917495975509
live-first-source-selection,100,10000,0.1,10,0,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.892875,0.010875,2.880291,0.001000,excluded,excluded,excluded,10,11866307917495975509
live-first-source-selection,100,10000,0.1,10,1,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.907750,0.008709,2.897375,0.001000,excluded,excluded,excluded,10,11866307917495975509
live-first-source-selection,100,10000,0.1,10,2,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.898459,0.008125,2.888625,0.001000,excluded,excluded,excluded,10,11866307917495975509
live-first-source-selection,100,10000,0.1,10,3,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.911208,0.007833,2.901667,0.001000,excluded,excluded,excluded,10,11866307917495975509
live-first-source-selection,100,10000,0.1,10,4,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.921542,0.007542,2.912417,0.000959,excluded,excluded,excluded,10,11866307917495975509
