plan,live_selectivity,metadata_selectivity,repetition,active_live_sources,metadata_eligible_sources,intersection_sources,live_sources_contacted,metadata_requests,historical_sources_contacted,historical_sources_skipped,live_rows_transferred,metadata_rows_transferred,historical_rows_transferred,join_key_rows_transferred,raw_bytes_transferred,aggregate_bytes_transferred,join_key_bytes_transferred,metadata_bytes_transferred,total_bytes_transferred,historical_records_scanned,join_input_rows_left,join_input_rows_right,join_output_rows,total_execution_ms,live_phase_ms,metadata_phase_ms,historical_phase_ms,join_ms,coordinator_ms,result_count,result_hash
CentralFetchAll,10,5,0,10,5,0,100,1,100,0,2400,5,1000000,0,80000000,0,0,360,80192360,1000000,2400,5,0,0.001542,0.001083,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
AggregateAll,10,5,0,10,5,0,100,1,100,0,2400,5,100,0,0,4800,0,360,197160,1000000,2400,5,0,0.001417,0.000958,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,10,5,0,10,5,0,100,1,10,90,2400,5,10,0,0,480,0,360,192840,100000,2400,5,0,0.001334,0.000875,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
MetadataFirst,10,5,0,10,5,0,5,1,5,95,0,5,5,0,0,240,0,360,600,50000,0,5,0,0.001417,0.000958,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,10,5,0,10,5,0,100,1,0,100,2400,0,0,10,0,0,400,0,192400,0,10,0,0,0.001542,0.000875,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,10,10,0,10,10,0,100,1,100,0,2400,10,1000000,0,80000000,0,0,720,80192720,1000000,2400,10,0,0.001708,0.001208,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,10,10,0,10,10,0,100,1,100,0,2400,10,100,0,0,4800,0,720,197520,1000000,2400,10,0,0.001500,0.001041,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,10,10,0,10,10,0,100,1,10,90,2400,10,10,0,0,480,0,720,193200,100000,2400,10,0,0.001583,0.001125,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,10,10,0,10,10,0,10,1,10,90,0,10,10,0,0,480,0,720,1200,100000,0,10,0,0.001500,0.001042,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,10,10,0,10,10,0,100,1,0,100,2400,0,0,10,0,0,400,0,192400,0,10,0,0,0.001792,0.001084,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
