evaluation_index,plan,operator_id,operator_type,operator_location,input_rows,output_rows,bytes_received,bytes_sent,requests,execution_ms
23,MetadataFirst,join,BindJoin,coordinator,290,240,0,0,0,0.000000
24,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000625
24,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,1,72,80,1,0.000042
24,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,1,80,80,1,0.000041
24,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000042
24,LiveMetadataSemiJoin,join,SemiJoin,coordinator,2,1,0,0,0,0.000042
25,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.001250
25,CentralFetchAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000000
25,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
25,CentralFetchAll,join,HashJoin,coordinator,315,240,0,0,0,0.000042
26,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.001792
26,AggregateAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000041
26,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
26,AggregateAll,join,HashJoin,coordinator,315,240,0,0,0,0.000042
27,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000750
27,LiveFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000000
27,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
27,LiveFirst,join,HashJoin,coordinator,315,240,0,0,0,0.000000
28,MetadataFirst,live,LiveWindow,live-source,24000,240,19200,0,75,0.000667
28,MetadataFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
28,MetadataFirst,history,HistoricalAVG,historical-source,750000,75,3600,0,75,0.000000
28,MetadataFirst,join,BindJoin,coordinator,315,240,0,0,0,0.000000
29,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000666
29,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,1,72,80,1,0.000000
29,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,1,80,80,1,0.000000
29,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
29,LiveMetadataSemiJoin,join,SemiJoin,coordinator,2,1,0,0,0,0.000000
30,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000916
30,CentralFetchAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
30,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000041
30,CentralFetchAll,join,HashJoin,coordinator,340,240,0,0,0,0.000042
31,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.001625
31,AggregateAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
31,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
31,AggregateAll,join,HashJoin,coordinator,340,240,0,0,0,0.000000
32,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000791
32,LiveFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
32,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
32,LiveFirst,join,HashJoin,coordinator,340,240,0,0,0,0.000000
33,MetadataFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000750
33,MetadataFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000000
33,MetadataFirst,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
33,MetadataFirst,join,BindJoin,coordinator,340,240,0,0,0,0.000000
34,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000709
34,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,1,72,80,1,0.000000
34,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,1,80,80,1,0.000000
34,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
34,LiveMetadataSemiJoin,join,SemiJoin,coordinator,2,1,0,0,0,0.000041
35,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000500
35,CentralFetchAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
35,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
35,CentralFetchAll,join,HashJoin,coordinator,1201,0,0,0,0,0.000042
36,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000334
36,AggregateAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000000
36,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
36,AggregateAll,join,HashJoin,coordinator,1201,0,0,0,0,0.000000
37,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000208
37,LiveFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000000
37,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000042
37,LiveFirst,join,HashJoin,coordinator,1201,0,0,0,0,0.000042
38,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,1,0.000209
38,MetadataFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000000
38,MetadataFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000042
38,MetadataFirst,join,BindJoin,coordinator,1,0,0,0,0,0.000041
39,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000250
39,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,200,1,0.000042
39,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,0,200,200,1,0.000041
39,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
39,LiveMetadataSemiJoin,join,SemiJoin,coordinator,5,0,0,0,0,0.000042
40,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000459
40,CentralFetchAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
40,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
40,CentralFetchAll,join,HashJoin,coordinator,1205,0,0,0,0,0.000000
41,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000333
41,AggregateAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
41,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
41,AggregateAll,join,HashJoin,coordinator,1205,0,0,0,0,0.000042
42,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000292
42,LiveFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
42,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000000
42,LiveFirst,join,HashJoin,coordinator,1205,0,0,0,0,0.000000
43,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,5,0.000292
43,MetadataFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
43,MetadataFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000000
43,MetadataFirst,join,BindJoin,coordinator,5,0,0,0,0,0.000000
44,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000292
44,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,200,1,0.000042
44,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,0,200,200,1,0.000041
44,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
44,LiveMetadataSemiJoin,join,SemiJoin,coordinator,5,0,0,0,0,0.000042
45,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000458
45,CentralFetchAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
45,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
45,CentralFetchAll,join,HashJoin,coordinator,1210,0,0,0,0,0.000000
46,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000333
46,AggregateAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
46,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
46,AggregateAll,join,HashJoin,coordinator,1210,0,0,0,0,0.000042
47,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000333
47,LiveFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
