strategy,total_source_pairs,active_live_sources,active_live_fraction,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
aggregate-all-sources,100,25,0.25,3,1,100,100,100,100,25,100,0,200,1000000,100,0,100,1500,28.835875,0.016375,28.814917,0.003167,0.852959,0.000042,0.941375,25,6531155869535032273
aggregate-all-sources,100,25,0.25,4,1,100,100,100,100,25,100,0,200,1000000,100,0,100,1500,28.924083,0.013208,28.906709,0.002875,0.852959,0.000042,0.941375,25,6531155869535032273
live-first-source-selection,100,25,0.25,0,1,100,100,100,100,25,25,75,125,250000,25,0,25,600,7.360416,0.020292,7.336416,0.002584,0.852959,0.000042,0.941375,25,6531155869535032273
live-first-source-selection,100,25,0.25,1,1,100,100,100,100,25,25,75,125,250000,25,0,25,600,7.183041,0.009375,7.170084,0.002625,0.852959,0.000042,0.941375,25,6531155869535032273
live-first-source-selection,100,25,0.25,2,1,100,100,100,100,25,25,75,125,250000,25,0,25,600,7.222792,0.018000,7.201417,0.002250,0.852959,0.000042,0.941375,25,6531155869535032273
live-first-source-selection,100,25,0.25,3,1,100,100,100,100,25,25,75,125,250000,25,0,25,600,7.244250,0.009041,7.232250,0.002083,0.852959,0.000042,0.941375,25,6531155869535032273
live-first-source-selection,100,25,0.25,4,1,100,100,100,100,25,25,75,125,250000,25,0,25,600,7.298958,0.009125,7.286709,0.002000,0.852959,0.000042,0.941375,25,6531155869535032273
fetch-all-sources,100,50,0.50,0,1,100,100,100,100,50,100,0,200,1000000,1000000,1000000,0,118920600,131.311750,0.022875,131.278250,0.009083,0.841458,0.000000,0.933166,50,17774635009270182749
fetch-all-sources,100,50,0.50,1,1,100,100,100,100,50,100,0,200,1000000,1000000,1000000,0,118920600,131.516958,0.020958,131.487334,0.007375,0.841458,0.000000,0.933166,50,17774635009270182749
fetch-all-sources,100,50,0.50,2,1,100,100,100,100,50,100,0,200,1000000,1000000,1000000,0,118920600,131.777917,0.019625,131.750458,0.006417,0.841458,0.000000,0.933166,50,17774635009270182749
fetch-all-sources,100,50,0.50,3,1,100,100,100,100,50,100,0,200,1000000,1000000,1000000,0,118920600,131.189125,0.018416,131.161584,0.007833,0.841458,0.000000,0.933166,50,17774635009270182749
fetch-all-sources,100,50,0.50,4,1,100,100,100,100,50,100,0,200,1000000,1000000,1000000,0,118920600,130.985209,0.024292,130.952750,0.006875,0.841458,0.000000,0.933166,50,17774635009270182749
aggregate-all-sources,100,50,0.50,0,1,100,100,100,100,50,100,0,200,1000000,100,0,100,1800,31.349083,0.034166,31.308583,0.004875,0.841458,0.000000,0.933166,50,17774635009270182749
aggregate-all-sources,100,50,0.50,1,1,100,100,100,100,50,100,0,200,1000000,100,0,100,1800,29.971875,0.024708,29.942375,0.003625,0.841458,0.000000,0.933166,50,17774635009270182749
aggregate-all-sources,100,50,0.50,2,1,100,100,100,100,50,100,0,200,1000000,100,0,100,1800,30.195041,0.017625,30.172792,0.003500,0.841458,0.000000,0.933166,50,17774635009270182749
aggregate-all-sources,100,50,0.50,3,1,100,100,100,100,50,100,0,200,1000000,100,0,100,1800,29.888750,0.016416,29.867916,0.003208,0.841458,0.000000,0.933166,50,17774635009270182749
aggregate-all-sources,100,50,0.50,4,1,100,100,100,100,50,100,0,200,1000000,100,0,100,1800,29.620000,0.014125,29.601458,0.003333,0.841458,0.000000,0.933166,50,17774635009270182749
live-first-source-selection,100,50,0.50,0,1,100,100,100,100,50,50,50,150,500000,50,0,50,1200,14.782500,0.011667,14.765875,0.003792,0.841458,0.000000,0.933166,50,17774635009270182749
live-first-source-selection,100,50,0.50,1,1,100,100,100,100,50,50,50,150,500000,50,0,50,1200,14.690625,0.011416,14.674791,0.003375,0.841458,0.000000,0.933166,50,17774635009270182749
live-first-source-selection,100,50,0.50,2,1,100,100,100,100,50,50,50,150,500000,50,0,50,1200,14.506458,0.011417,14.489750,0.004208,0.841458,0.000000,0.933166,50,17774635009270182749
