strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
bind-join,100000,10000000,100,25000,2,17,6.932833,5.811875,1.120959,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,50000,0,17,9.759709,7.274250,2.485375,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
fetch-all,100000,10000000,100,50000,1,17,9.556292,7.085500,2.470791,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
fetch-all,100000,10000000,100,50000,2,17,9.227791,6.777875,2.449916,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,0,17,9.420875,6.901042,2.519750,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,1,17,9.307958,6.820291,2.487667,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,2,17,9.328583,6.850167,2.478333,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,0,17,14.442125,11.985708,2.456458,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,1,17,14.143458,11.738542,2.404958,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,2,17,14.409791,12.008625,2.401125,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
fetch-all,100000,10000000,100,75000,0,17,10.245375,6.531334,3.714000,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,75000,1,17,10.694416,7.045250,3.649209,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,75000,2,17,11.085125,7.380125,3.705041,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,0,17,10.360417,6.635500,3.724958,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,1,17,10.362333,6.710584,3.651708,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,2,17,10.433167,6.825833,3.607375,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,0,17,22.797959,18.779250,4.018667,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,1,17,22.230916,18.316583,3.914291,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,2,17,23.331167,19.252375,4.078750,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,100000,0,17,11.832334,6.864750,4.967583,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
fetch-all,100000,10000000,100,100000,1,17,11.659375,6.725875,4.933500,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
fetch-all,100000,10000000,100,100000,2,17,11.661375,6.652417,5.008958,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,0,17,11.926125,6.779458,5.146625,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,1,17,11.812292,6.797375,5.014875,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,2,17,11.707167,6.724042,4.983166,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,0,17,30.708375,25.581375,5.127000,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,1,17,31.293667,25.946958,5.346667,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,2,17,32.426000,26.914334,5.511666,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
